1girl,0,6160069,"1girls,sole_female"
highres,5,5441609,"high_res,high_resolution,hires"
solo,0,5121214,"female_solo,solo_female"
long_hair,0,4470270,"/lh,longhair"
breasts,0,3532669,"/b,boobs,breast,breats,oppai,tits"
looking_at_viewer,0,3415828,"/lav,/pec,pov_eye_contact"
commentary_request,5,3383418,/com
blush,0,3016741,"blushing,flush,flushed"
smile,0,2958530,":),:},smiling"
open_mouth,0,2445624,mouth_open
short_hair,0,2317244,"short-hair,shorthair"
shirt,0,1888672,"shirt_only,shirts"
simple_background,0,1884327,"/sbg,/simplebg"
absurdres,5,1857629,"insaneres,very_high_resolution"
blue_eyes,0,1807950,"blueeyes,light_blue_eyes"
long_sleeves,0,1622447,"long_sleeve,/lsleeves"
large_breasts,0,1621781,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,0,1597693,
blonde_hair,0,1584448,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
multiple_girls,0,1573427,/ngirls
white_background,0,1552079,"/wbg,/whitebg"
black_hair,0,1550698,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,0,1538009,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
hair_ornament,0,1459967,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
1boy,0,1452078,"1boys,sole_male"
commentary,5,1439116,commentaries
holding,0,1412723,"hold,holding_object"
gloves,0,1393412,glove
dress,0,1336136,
red_eyes,0,1309402,"red_eye,redeyes"
hat,0,1237593,
closed_mouth,0,1219746,
bow,0,1208743,bows
animal_ears,0,1206375,kemonomimi
bad_id,5,1205115,bad_skeb_id
hair_between_eyes,0,1202450,bangs_between_eyes
original,3,1194535,"/o,original_character"
thighhighs,0,1194262,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
navel,0,1180675,"belly_button,bellybutton"
ribbon,0,1112930,ribbons
jewelry,0,1098409,"jewelery,jewellery"
2girls,0,1049674,"2girl,2_girls"
cleavage,0,1028039,"clevage,overboob"
bare_shoulders,0,1000360,"bare_shoulder,bareshoulders"
very_long_hair,0,981672,"hair_past_waist,/vlh"
jacket,0,972553,
sitting,0,965761,"sit,sitting_down"
bad_pixiv_id,5,946845,
standing,0,931028,
twintails,0,925786,"/tt,twintaiks,twintail,twin_tails"
touhou,3,910108,"/to,toho"
medium_breasts,0,909137,
white_shirt,0,881988,white_blouse
blue_hair,0,880179,"/blueh,bluehair"
green_eyes,0,871258,"green-eyes,greeneyes"
brown_eyes,0,862862,"browneyes,light_brown_eyes"
nipples,0,848982,nipple
full_body,0,841884,
purple_eyes,0,832429,"light_purple_eyes,purpleeyes,violet_eyes"
collarbone,0,809519,"clavicle,clavicles,collarbones"
school_uniform,0,808400,"/s,school_girl,schoolgirl,school_uniforms,seifuku"
underwear,0,808243,"shitagi,undergarments"
tail,0,807285,"animal_tail,animal_tails,shippo,tails"
upper_body,0,798770,bust
male_focus,0,737656,"boys_only,guys_only,male,male_only,man,men"
closed_eyes,0,729857,eyes_closed
white_hair,0,725130,whitehair
multicolored_hair,0,718836,multicolor_hair
pink_hair,0,715478,"magenta_hair,/pinkh,pinkhair"
yellow_eyes,0,714364,"amber_eyes,golden_eyes,gold_eyes,hazel_eyes,hazeleyes,yelloweyes"
ponytail,0,713491,"long_ponytail,pony_tail"
photoshop_(medium),5,706692,
grey_hair,0,706059,gray_hair
swimsuit,0,673233,"bathing_suit,mizugi,swim_suit,swimsuits"
ahoge,0,667853,
purple_hair,0,665722,"lavender_hair,/purpleh,purple-hair,purplehair,violet_hair"
panties,0,658899,"/p,pantie,pantsu,panty"
braid,0,646232,"braided_hair,braids,hair_braid"
monochrome,0,645612,"/m,monochome,monochorme,monochromatic"
short_sleeves,0,639891,/ssleeves
flower,0,638807,flowers
